TITLE,位置,任务ID,父任务ID,路径,优先级,风险,完成百分比,估算时间,所花费的时间,创建日期,创建自,上次修改日期,上次修改者,开始日期,到期日期,注释日期,重复,分配到,分配自,状态,类别,标签,外部ID,成本(C),版本,标志,依赖性,文件链接,子任务完成度,注释
空战任务,1,1,0,,5,0,0,0.00H,0.00H,2021/5/12 12:27,35839,2021/5/12 12:34,35839,2021/5/12,,,,,,,,,,0,,,,,,空战任务 此任务旨在歼灭蓝方空中战机和防空力量。
歼击团1,2,2,0,,5,0,0,0.00H,40.00m,2021/5/12 13:07,35839,2021/5/13 12:22,35839,2021/7/1 2:00,,,,,,,,,,0,,,,,,J-20 24机
对空掩护攻击,2.1,15,2,歼击团1\,5,0,0,0.00H,40.00m,2021/5/13 12:41,35839,2021/5/13 12:58,35839,2021/7/1 2:00,2021/7/1 2:10,,,,,,,,,0,,,,,,在不可逃逸距离以追踪并扫描模式发射所有PL-15导弹，并立即撤回机场整备。
整备,2.2,19,2,歼击团1\,5,0,0,0.00H,0.00H,2021/5/13 12:53,35839,2021/5/13 13:04,35839,2021/7/1 2:10,,,,,,,,,,0,,,,,,换挂对地攻击挂载
对地侦察打击,2.3,21,2,歼击团1\,5,0,0,0.00H,0.00H,2021/5/13 12:53,35839,2021/5/13 12:53,35839,2021/5/13,,,,,,,,,,0,,,,,,
歼击团2,3,3,0,,5,0,0,0.00H,0.00H,2021/5/12 13:08,35839,2021/5/13 12:42,35839,2021/7/1 2:00,,,,,,,,,,0,,,,,,J-20 24机
对空掩护攻击,3.1,16,3,歼击团2\,5,0,0,0.00H,0.00H,2021/5/13 12:42,35839,2021/5/13 12:42,35839,2021/7/1 2:00,2021/7/1 2:10,,,,,,,,,0,,,,,,
整备,3.2,20,3,歼击团2\,5,0,0,0.00H,0.00H,2021/5/13 12:53,35839,2021/5/13 13:04,35839,2021/7/1 2:10,,,,,,,,,,0,,,,,,加挂对空挂载
空中巡逻,3.3,22,3,歼击团2\,5,0,0,0.00H,0.00H,2021/5/13 12:53,35839,2021/5/13 12:53,35839,2021/5/13,,,,,,,,,,0,,,,,,
歼击团3,4,4,0,,5,0,0,0.00H,0.00H,2021/5/12 13:08,35839,2021/5/13 12:42,35839,2021/7/1 2:00,,,,,,,,,,0,,,,,,J-20 24机
